id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
11767,Appareil fixe-Vast apparaat,Prinsbouwdewijnlaan,,2650.0,Edegem,Antwerpen,. ,Oui-Ja,Non-Nee,," Prinsbouwdewijnlaan, Edegem, Antwerpen, Belgium 2650",51.1588037,4.4301846
11768,Appareil fixe-Vast apparaat,Zeilschipstraat,,9000.0,Gent,Oost-Vlaanderen,Polyvalente ruimte,Oui-Ja,Non-Nee,Bereikbaar Tijdens de week: Ma-Vr: 8u-17u," Zeilschipstraat, Gent, Oost-Vlaanderen, Belgium 9000",51.0813777,3.7189141
11769,Appareil fixe-Vast apparaat,Rue Gustave Delperdange,1.0,6600.0,Bastogne ,Liège,.,Oui-Ja,Non-Nee,,"1.0 Rue Gustave Delperdange, Bastogne , Liège, Belgium 6600",50.0072132,5.7263891
11770,Appareil fixe-Vast apparaat,retiesebaan,80.0,2460.0,kasterlee,Antwerpen,voorkant huis voordeur,Oui-Ja,Oui-Ja,,"80.0 retiesebaan, kasterlee, Antwerpen, Belgium 2460",51.2453148,5.0015075
11771,Appareil fixe-Vast apparaat,Sportlaan ,3.0,8700.0,Tielt,West-Vlaanderen,afdak sporthal kant atletiek ,Oui-Ja,Oui-Ja,,"3.0 Sportlaan , Tielt, West-Vlaanderen, Belgium 8700",51.0030909,3.3296081
11772,Appareil fixe-Vast apparaat,Ambachtsstraat,41.0,2390.0,Malle,Antwerpen,Op het gelijkvloers aan de buitenkant van het kantoorgebouw,Oui-Ja,Oui-Ja,,"41.0 Ambachtsstraat, Malle, Antwerpen, Belgium 2390",51.2887206,4.7090895
11773,Appareil fixe-Vast apparaat,Rue du Lombard,79.0,5000.0,Namur ,Namur,Escalier accès cafétéria,Non-Nee,Non-Nee,,"79.0 Rue du Lombard, Namur , Namur, Belgium 5000",50.4648073,4.8707298
11774,Appareil fixe-Vast apparaat,CHAUSSEE  DES ROMAINS ,,4577.0,MODAVE ,Liège,VESTIAIRE CAVALIER,Oui-Ja,Oui-Ja,," CHAUSSEE  DES ROMAINS , MODAVE , Liège, Belgium 4577",50.5027687,5.3309431
11775,Appareil fixe-Vast apparaat,Ternesselei,118.0,2160.0,Wommelgem,Antwerpen,Aan elektriciteitskast naast de tennisvelden.,Oui-Ja,,,"118.0 Ternesselei, Wommelgem, Antwerpen, Belgium 2160",51.2082027,4.5047335
11776,Appareil fixe-Vast apparaat,Jagersstraat,68.0,9660.0,Brakel,Oost-Vlaanderen,EHBO lokaal zwembad,Oui-Ja,Non-Nee,,"68.0 Jagersstraat, Brakel, Oost-Vlaanderen, Belgium 9660",50.8025244,3.7528525
11777,Appareil fixe-Vast apparaat,Avenue Joseph Chaudron  ,115.0,1160.0,Bruxelles,Bruxelles-Brussel,.,Oui-Ja,Non-Nee,,"115.0 Avenue Joseph Chaudron  , Bruxelles, Bruxelles-Brussel, Belgium 1160",50.8117679,4.4327124
11778,Appareil fixe-Vast apparaat,Avenue Maxime Buset ,,7100.0,La Louvière,Hainaut,Entrée principale à droite ,Oui-Ja,Non-Nee,," Avenue Maxime Buset , La Louvière, Hainaut, Belgium 7100",50.4775017,4.2047857
11779,Appareil fixe-Vast apparaat,Rue de Hermée,170.0,4040.0,Herstal,Liège,. ,Oui-Ja,Non-Nee,,"170.0 Rue de Hermée, Herstal, Liège, Belgium 4040",50.6934624,5.6276423
11780,Appareil fixe-Vast apparaat,rue du Perron,31.0,4590.0,Ouffet,Liège,Entrée Hall Omnisport,Oui-Ja,Oui-Ja,,"31.0 rue du Perron, Ouffet, Liège, Belgium 4590",50.4372555,5.4702885
11781,Appareil fixe-Vast apparaat,Lindestraat,17.0,9880.0,Aalter,Oost-Vlaanderen,Achterzijde sporthal - looppiste - te bereiken via weg overzijde Sportlaan 23 ,Oui-Ja,Oui-Ja,,"17.0 Lindestraat, Aalter, Oost-Vlaanderen, Belgium 9880",51.082411,3.4384877
11782,Appareil fixe-Vast apparaat,Eigenheerdstraat,8.0,8900.0,Ieper,West-Vlaanderen,Buitengevel school Heilige Familie - Naast inkom,Oui-Ja,Oui-Ja,,"8.0 Eigenheerdstraat, Ieper, West-Vlaanderen, Belgium 8900",50.8506208,2.8782626
11783,Appareil fixe-Vast apparaat,Bollingstraat,7.0,8900.0,Ieper,West-Vlaanderen,Aan de buitengevel van de school - Ter hoogte van Bollingstraat 7 - Naast zij ingang College,Oui-Ja,Oui-Ja,,"7.0 Bollingstraat, Ieper, West-Vlaanderen, Belgium 8900",50.8513652,2.8907803
11784,Appareil fixe-Vast apparaat,Augustijnenstraat,58.0,8900.0,Ieper,West-Vlaanderen,"Bij hoofdingang VTI, net om de hoek bij begin van de speelplaats (wit poortje doorgaan).",Oui-Ja,Oui-Ja,,"58.0 Augustijnenstraat, Ieper, West-Vlaanderen, Belgium 8900",50.8539859,2.8656871
11785,Appareil fixe-Vast apparaat,Rozestraat,8.0,9910.0,Ursel,Oost-Vlaanderen,ingang Buitenschoolse kinderopvang ,Oui-Ja,Oui-Ja,,"8.0 Rozestraat, Ursel, Oost-Vlaanderen, Belgium 9910",51.1267134,3.4938716
11786,Appareil fixe-Vast apparaat,Rue des Alliés ,41.0,7080.0,Frameries,Hainaut,.,Oui-Ja,Non-Nee,,"41.0 Rue des Alliés , Frameries, Hainaut, Belgium 7080",50.409378,3.8944151
11787,Appareil fixe-Vast apparaat,Europalaan,36.0,9800.0,Deinze,Oost-Vlaanderen,"buiten, op afsluiting/hekwerk",Oui-Ja,Oui-Ja,,"36.0 Europalaan, Deinze, Oost-Vlaanderen, Belgium 9800",50.9727078,3.5086828
11788,Appareil fixe-Vast apparaat,BROUWERIJSTRAAT ,9.0,9850.0,DEINZE,Oost-Vlaanderen,Op afsluiting/hekwerk naast toegangspoort,Oui-Ja,Oui-Ja,,"9.0 BROUWERIJSTRAAT , DEINZE, Oost-Vlaanderen, Belgium 9850",51.0582187,3.5652526
11789,Appareil fixe-Vast apparaat,Brownfieldlaan,19.0,2830.0,Willebroek,Vlaams-Brabant,. ,Oui-Ja,Non-Nee,,"19.0 Brownfieldlaan, Willebroek, Vlaams-Brabant, Belgium 2830",51.0702198,4.3469403
11790,Appareil fixe-Vast apparaat,Vogelzanglaan,6.0,2020.0,Antwerpen,Antwerpen,.,Oui-Ja,Non-Nee,,"6.0 Vogelzanglaan, Antwerpen, Antwerpen, Belgium 2020",51.1890473,4.4025987
11791,Appareil fixe-Vast apparaat,Eikenlei,102.0,2960.0,Sint-Job- T-Goor,Antwerpen,. ,Oui-Ja,Non-Nee,,"102.0 Eikenlei, Sint-Job- T-Goor, Antwerpen, Belgium 2960",51.3006625,4.5600725
11792,Appareil fixe-Vast apparaat,Rue de l été,73.0,1050.0,Bruxelles,Bruxelles-Brussel,.,Oui-Ja,Non-Nee,,"73.0 Rue de l été, Bruxelles, Bruxelles-Brussel, Belgium 1050",50.8184617,4.3891875
11793,Appareil fixe-Vast apparaat,Poel,7.0,9000.0,Gent,Oost-Vlaanderen,"Buiten aan zij-ingang zaal
",Oui-Ja,Non-Nee,De AED hangt buiten en dus door iedereen bruikbaar maar de parking is  s nachts en tijdens het weekend afgesloten en enkel toegankelijk met een badge.,"7.0 Poel, Gent, Oost-Vlaanderen, Belgium 9000",51.0547405,3.7178667
11794,Appareil fixe-Vast apparaat,RUE SUR HAIES,7.0,4557.0,TINLOT,Liège,"rez-de-chaussée, à côté du bureau d accueil",Oui-Ja,Non-Nee,08h-17h,"7.0 RUE SUR HAIES, TINLOT, Liège, Belgium 4557",50.5006361,5.4006776
11795,Appareil fixe-Vast apparaat,Neerhonderd,42.0,9230.0,Wetteren,Oost-Vlaanderen,"Trianval - site Besermi
Hoofdingang van het gebouw via automatische schuifdeuren
AED bevindt zich ter hoogte van de brandcentrale",Oui-Ja,Non-Nee,Van maandag t.e.m. vrijdag van 7u45-16u30. Gesloten op feestdagen,"42.0 Neerhonderd, Wetteren, Oost-Vlaanderen, Belgium 9230",50.9891444,3.8434317
11796,Appareil fixe-Vast apparaat,Langlaarsteenweg,166.0,2630.0,Aartselaar,Antwerpen,. ,Oui-Ja,Non-Nee,,"166.0 Langlaarsteenweg, Aartselaar, Antwerpen, Belgium 2630",51.1242472,4.3816748
11797,Appareil fixe-Vast apparaat,Rue de Louvain ,1.0,1000.0,Bruxelles,Bruxelles-Brussel,A l entrée du batîment.,Oui-Ja,Non-Nee,jours ouvrables 07:00 à 19:00,"1.0 Rue de Louvain , Bruxelles, Bruxelles-Brussel, Belgium 1000",50.8475486,4.3661227
11798,Appareil fixe-Vast apparaat,Rue de Grandvoir,49.0,6800.0,Libramont - Chevigny,Luxembourg,1er étage entrée principale ,Oui-Ja,Non-Nee,,"49.0 Rue de Grandvoir, Libramont - Chevigny, Luxembourg, Belgium 6800",49.9017117,5.3628181
11799,Appareil fixe-Vast apparaat,Croix des Fourneaux,31.0,6800.0,Libramont Chevigny,Luxembourg,Entrée principale,Oui-Ja,Non-Nee,,"31.0 Croix des Fourneaux, Libramont Chevigny, Luxembourg, Belgium 6800",49.9217779,5.4433096
11800,Appareil fixe-Vast apparaat,Plein Vent,19.0,6800.0,Libramont Chevigny,Luxembourg,Entrée principale nouveau batiment,Oui-Ja,Non-Nee,,"19.0 Plein Vent, Libramont Chevigny, Luxembourg, Belgium 6800",49.9221711,5.4227762
11801,Appareil fixe-Vast apparaat,Rue Zébo,30.0,6800.0,Libramont Chevigny,Luxembourg,Entrée principale,Oui-Ja,Non-Nee,,"30.0 Rue Zébo, Libramont Chevigny, Luxembourg, Belgium 6800",49.9806468,5.3839158
11802,Appareil fixe-Vast apparaat,Rue de la Guimbarde,50.0,6800.0,Libramont Chevigny,Luxembourg,Entrée principale,Oui-Ja,Non-Nee,,"50.0 Rue de la Guimbarde, Libramont Chevigny, Luxembourg, Belgium 6800",49.989286,5.4691964
11803,Appareil fixe-Vast apparaat,Buisson Ponsin,13.0,6800.0,Libramont Chevigny,Luxembourg,Entrée vieux batiment - garderie,Oui-Ja,Non-Nee,,"13.0 Buisson Ponsin, Libramont Chevigny, Luxembourg, Belgium 6800",49.906133,5.4061226
11804,Appareil fixe-Vast apparaat,Rue Suzerain,39.0,6800.0,Libramont Chevigny,Luxembourg,Entrée garderie,Oui-Ja,Non-Nee,,"39.0 Rue Suzerain, Libramont Chevigny, Luxembourg, Belgium 6800",49.9733816,5.4432859
11805,Appareil fixe-Vast apparaat,Rue sous le pont,8.0,6800.0,Libramont Chevigny,Luxembourg,Entrée principale,Oui-Ja,Non-Nee,,"8.0 Rue sous le pont, Libramont Chevigny, Luxembourg, Belgium 6800",49.9538337,5.4233166
11806,Appareil fixe-Vast apparaat,Schoondonkweg ,35.0,2830.0,Willebroek,Antwerpen,Refter 2e verdieping boven poort 34,Non-Nee,Non-Nee,06h00 - 22h00,"35.0 Schoondonkweg , Willebroek, Antwerpen, Belgium 2830",51.0469034,4.3684127
11807,Appareil fixe-Vast apparaat,Pachtgoederen ,2.0,9940.0,Evergem,Oost-Vlaanderen,"Hall 2, ingang kantoor",Non-Nee,Non-Nee,06h00 - 22h00,"2.0 Pachtgoederen , Evergem, Oost-Vlaanderen, Belgium 9940",51.1505908,3.7516665
11808,Appareil fixe-Vast apparaat,Industrieweg ,35.0,8800.0,Roeselare,West-Vlaanderen,Inkom hall 2,Non-Nee,Non-Nee,08h00 - 18h00,"35.0 Industrieweg , Roeselare, West-Vlaanderen, Belgium 8800",50.946717,3.135296
11809,Appareil fixe-Vast apparaat,"Laneuville, La Bondine",8.0,6800.0,"Libramont, Chevigny",Luxembourg,Entrée +1,Oui-Ja,Non-Nee,,"8.0 Laneuville, La Bondine, Libramont, Chevigny, Luxembourg, Belgium 6800",49.9321297,5.493907399999999
11810,Appareil fixe-Vast apparaat,"Remagne ,",30.0,6800.0,"Libramont, Chevigny",Luxembourg,Cage d escalier,Oui-Ja,Non-Nee,,"30.0 Remagne ,, Libramont, Chevigny, Luxembourg, Belgium 6800",49.9766169,5.4943517
11811,Appareil fixe-Vast apparaat,Guldensporenlaan,30.0,3540.0,Herk-de-Stad,Limburg,Voorgevel gebouw,Oui-Ja,Oui-Ja,,"30.0 Guldensporenlaan, Herk-de-Stad, Limburg, Belgium 3540",50.9421015,5.1659157
11812,Appareil fixe-Vast apparaat,Rue du Bois-Gilot ,2.0,5336.0,Courrière,Namur,Secrétariat +1,Oui-Ja,Non-Nee,"Du lundi au vendredi, entre 08h00 et 17h00 (+/- 1/2h), hors congés et jours fériés","2.0 Rue du Bois-Gilot , Courrière, Namur, Belgium 5336",50.385435,4.9838584
11813,Appareil fixe-Vast apparaat,Rue du Bois-Gilot,2.0,5336.0,Courrière,Namur,Infirmerie Rez-de-Chaussée,Oui-Ja,Non-Nee,"du lundi au vendredi, entre 08h00 et 17h00 (+/-1/2h), sauf congés et jours fériés","2.0 Rue du Bois-Gilot, Courrière, Namur, Belgium 5336",50.385435,4.9838584
11814,Appareil fixe-Vast apparaat,Avenue Jules Bordet ,74.0,1140.0,Evere,Bruxelles-Brussel,"Au rez-de-chaussée du bâtiment, dans la réception du centre",Oui-Ja,Oui-Ja,,"74.0 Avenue Jules Bordet , Evere, Bruxelles-Brussel, Belgium 1140",50.8719745,4.4166098
11815,Appareil fixe-Vast apparaat,Sluis,15.0,9810.0,Eke,Oost-Vlaanderen,Gelijkvloers rechts vooraan de gevel (buiten),Oui-Ja,Oui-Ja,,"15.0 Sluis, Eke, Oost-Vlaanderen, Belgium 9810",50.9550392,3.6644392
11816,Appareil fixe-Vast apparaat,Koning Albert II laan,32.0,1000.0,Brussel,Bruxelles-Brussel,6de verdieping Allianz toren gang naar de trappen en toiletten,Non-Nee,Oui-Ja,,"32.0 Koning Albert II laan, Brussel, Bruxelles-Brussel, Belgium 1000",50.8607832,4.3573496
11817,Appareil fixe-Vast apparaat,Veearts Strauvenlaan,5.0,3540.0,Herk-de-Stad,Limburg,Tegen de buitengevel langs de voordeur,Oui-Ja,Oui-Ja,,"5.0 Veearts Strauvenlaan, Herk-de-Stad, Limburg, Belgium 3540",50.93954,5.16847
11818,Appareil fixe-Vast apparaat,Boulevard du roi albert ,1.0,7500.0,Tournai,Hainaut,Piece de vie,Oui-Ja,Non-Nee,,"1.0 Boulevard du roi albert , Tournai, Hainaut, Belgium 7500",50.6005076,3.3934199
11819,Appareil fixe-Vast apparaat,Avenue de Samart,,5600.0,Philippeville,Namur,Salle de gym,Non-Nee,Non-Nee,," Avenue de Samart, Philippeville, Namur, Belgium 5600",50.186028,4.5425566
11820,Appareil fixe-Vast apparaat,Avune de Samart ,,5600.0,Philippeville,Namur,Secrétariat primaire,Non-Nee,Non-Nee,," Avune de Samart , Philippeville, Namur, Belgium 5600",50.186028,4.5425566
11821,Appareil fixe-Vast apparaat,Rue Martinroux,32.0,6220.0,Fleurus,Hainaut,Hall d entrée ,Oui-Ja,Non-Nee,,"32.0 Rue Martinroux, Fleurus, Hainaut, Belgium 6220",50.4577199,4.544945
11822,Appareil fixe-Vast apparaat,Rue du Cerisier ,2.0,6041.0,Gosselies,Hainaut,Réception de TH Trucks Charleroi,Oui-Ja,Non-Nee,8-18h,"2.0 Rue du Cerisier , Gosselies, Hainaut, Belgium 6041",50.4613848,4.4420116
11823,Appareil fixe-Vast apparaat,Diegemstraat,37.0,1930.0,Zaventem,Vlaams-Brabant,.,Oui-Ja,Non-Nee,,"37.0 Diegemstraat, Zaventem, Vlaams-Brabant, Belgium 1930",50.8886411,4.4645702
11824,Appareil fixe-Vast apparaat,St Lambertusstraat,,1930.0,Zaventem,Vlaams-Brabant,. ,Oui-Ja,Non-Nee,," St Lambertusstraat, Zaventem, Vlaams-Brabant, Belgium 1930",50.8801509,4.5035259
11825,Appareil fixe-Vast apparaat,Kleine kerkstraat,,1930.0,Sint Stevens Wolluwe,Vlaams-Brabant,CHIRO JONGENS SSW,Oui-Ja,Non-Nee,," Kleine kerkstraat, Sint Stevens Wolluwe, Vlaams-Brabant, Belgium 1930",50.8693755,4.4513979
11826,Appareil fixe-Vast apparaat,Antwerpsesteenweg ,37.0,2450.0,Vosselaar ,Antwerpen,Inkomhal guesthouse Janssen Pharmaceutica,Non-Nee,Oui-Ja,,"37.0 Antwerpsesteenweg , Vosselaar , Antwerpen, Belgium 2450",51.3147874,4.888132
11827,Appareil fixe-Vast apparaat,Kasterveldenstraat ,1.0,2000.0,Antwerpen,Antwerpen,/,Oui-Ja,Non-Nee,,"1.0 Kasterveldenstraat , Antwerpen, Antwerpen, Belgium 2000",51.253969,4.4565226
11828,Appareil fixe-Vast apparaat,Boudewijnstraat,4.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"4.0 Boudewijnstraat, ANTWERPEN, Antwerpen, Belgium 2018",51.2049558,4.4002218
11829,Appareil fixe-Vast apparaat,Vancouverstraat,1.0,2030.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Vancouverstraat, ANTWERPEN, Antwerpen, Belgium 2030",51.2608959,4.42335
11830,Appareil fixe-Vast apparaat,Zandweg,2.0,2040.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"2.0 Zandweg, ANTWERPEN, Antwerpen, Belgium 2040",51.35074,4.3183761
11831,Appareil fixe-Vast apparaat,Koningin Elisabethstraat,7.0,2610.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"7.0 Koningin Elisabethstraat, ANTWERPEN, Antwerpen, Belgium 2610",51.1712999,4.3912369
11832,Appareil fixe-Vast apparaat,Jef Cassiersstraat,29.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"29.0 Jef Cassiersstraat, ANTWERPEN, Antwerpen, Belgium 2000",51.2048896,4.3805846
11833,Appareil fixe-Vast apparaat,Straalstraat,1.0,2170.0,MERKSEM,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Straalstraat, MERKSEM, Antwerpen, Belgium 2170",51.2399493,4.4528954
11834,Appareil fixe-Vast apparaat,Borgerhoutsestraat,36.0,2140.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"36.0 Borgerhoutsestraat, ANTWERPEN, Antwerpen, Belgium 2140",51.2132157,4.4273679
11835,Appareil fixe-Vast apparaat,Antwerpsesteenweg,167.0,2260.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"167.0 Antwerpsesteenweg, ANTWERPEN, Antwerpen, Belgium 2260",51.1790813,4.3619486
11836,Appareil fixe-Vast apparaat,Valkstraat,74.0,2610.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"74.0 Valkstraat, ANTWERPEN, Antwerpen, Belgium 2610",51.1694381,4.3841009
11837,Appareil fixe-Vast apparaat,Kerkendijk,6.0,2140.0,Antwerpen,Antwerpen,/,Oui-Ja,Oui-Ja,,"6.0 Kerkendijk, Antwerpen, Antwerpen, Belgium 2140",51.2124481,4.4531617
11838,Appareil fixe-Vast apparaat,Herculusstraat,17.0,2600.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"17.0 Herculusstraat, ANTWERPEN, Antwerpen, Belgium 2600",51.2013261,4.4401458
11839,Appareil fixe-Vast apparaat,Grote Markt,1.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Grote Markt, ANTWERPEN, Antwerpen, Belgium 2000",51.22114,4.4002183
11840,Appareil fixe-Vast apparaat,Kronenburgstraat,25.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"25.0 Kronenburgstraat, ANTWERPEN, Antwerpen, Belgium 2000",51.2120287,4.3974974
11841,Appareil fixe-Vast apparaat,Fonteinstraat,,2140.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,," Fonteinstraat, ANTWERPEN, Antwerpen, Belgium 2140",51.2104758,4.4413143
11842,Appareil fixe-Vast apparaat,Burgemeester De Boeylaan,2.0,2100.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"2.0 Burgemeester De Boeylaan, ANTWERPEN, Antwerpen, Belgium 2100",51.2099815,4.4733149
11843,Appareil fixe-Vast apparaat,Krugerstraat ,105.0,2660.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"105.0 Krugerstraat , ANTWERPEN, Antwerpen, Belgium 2660",51.184783,4.3676245
11844,Appareil fixe-Vast apparaat,Bouvaertlaan,31.0,2050.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"31.0 Bouvaertlaan, ANTWERPEN, Antwerpen, Belgium 2050",51.2324598,4.3853963
11845,Appareil fixe-Vast apparaat,Montignystraat,70.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"70.0 Montignystraat, ANTWERPEN, Antwerpen, Belgium 2018",51.2012547,4.3914686
11846,Appareil fixe-Vast apparaat,Bavostraat,16.0,2610.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"16.0 Bavostraat, ANTWERPEN, Antwerpen, Belgium 2610",51.1703844,4.4017455
11847,Appareil fixe-Vast apparaat,Sint-Theresiastraat,5.0,2600.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"5.0 Sint-Theresiastraat, ANTWERPEN, Antwerpen, Belgium 2600",51.1798217,4.4354104
11848,Appareil fixe-Vast apparaat,Lodewijk Van Berckenlaan,361.0,2140.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"361.0 Lodewijk Van Berckenlaan, ANTWERPEN, Antwerpen, Belgium 2140",51.1974502,4.4444942
11849,Appareil fixe-Vast apparaat,Steenplein,1.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Steenplein, ANTWERPEN, Antwerpen, Belgium 2000",51.2220752,4.397047700000001
11850,Appareil fixe-Vast apparaat,Lange Leemstraat ,372.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"372.0 Lange Leemstraat , ANTWERPEN, Antwerpen, Belgium 2018",51.2061276,4.4171034
11851,Appareil fixe-Vast apparaat,Oude Leeuwenrui,29.0,2000.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"29.0 Oude Leeuwenrui, ANTWERPEN, Antwerpen, Belgium 2000",51.2269559,4.4088267
11852,Appareil fixe-Vast apparaat,Francis wellesplein,1.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Francis wellesplein, ANTWERPEN, Antwerpen, Belgium 2018",51.2039025,4.3974886
11853,Appareil fixe-Vast apparaat,Hanegraefstraat,5.0,2050.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"5.0 Hanegraefstraat, ANTWERPEN, Antwerpen, Belgium 2050",51.2192164,4.3806173
11854,Appareil fixe-Vast apparaat,Marnixstraat ,14.0,2060.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"14.0 Marnixstraat , ANTWERPEN, Antwerpen, Belgium 2060",51.2278071,4.4188765
11855,Appareil fixe-Vast apparaat,Lange  Zavelstraat,78.0,2060.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"78.0 Lange  Zavelstraat, ANTWERPEN, Antwerpen, Belgium 2060",51.2228513,4.4279411
11856,Appareil fixe-Vast apparaat,Steenbokstraat,1.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Steenbokstraat, ANTWERPEN, Antwerpen, Belgium 2018",51.2070195,4.4268839
11857,Appareil fixe-Vast apparaat,Lamorinierestraat ,137.0,2018.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"137.0 Lamorinierestraat , ANTWERPEN, Antwerpen, Belgium 2018",51.2035955,4.420659
11858,Appareil fixe-Vast apparaat,Boekenberglei,128.0,2100.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"128.0 Boekenberglei, ANTWERPEN, Antwerpen, Belgium 2100",51.1988233,4.4599706
11859,Appareil fixe-Vast apparaat,Blancefloerlaan,183.0,2050.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"183.0 Blancefloerlaan, ANTWERPEN, Antwerpen, Belgium 2050",51.2193538,4.3480446
11860,Appareil fixe-Vast apparaat,Kielsbroek,32.0,2020.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"32.0 Kielsbroek, ANTWERPEN, Antwerpen, Belgium 2020",51.1959419,4.3708642
11861,Appareil fixe-Vast apparaat,Neerlandweg,1.0,2610.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"1.0 Neerlandweg, ANTWERPEN, Antwerpen, Belgium 2610",51.1605947,4.3896387
11862,Appareil fixe-Vast apparaat,Zillebekelaan,,2600.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,," Zillebekelaan, ANTWERPEN, Antwerpen, Belgium 2600",51.1947713,4.4436759
11863,Appareil fixe-Vast apparaat,Louis Paul Boonstraat ,,2050.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,," Louis Paul Boonstraat , ANTWERPEN, Antwerpen, Belgium 2050",51.2249314,4.3821976
11864,Appareil fixe-Vast apparaat,Slachthuislaan,44.0,2060.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"44.0 Slachthuislaan, ANTWERPEN, Antwerpen, Belgium 2060",51.2316399,4.4338623
11865,Appareil fixe-Vast apparaat,Damplein,,2060.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,," Damplein, ANTWERPEN, Antwerpen, Belgium 2060",51.2269388,4.4276298
11866,Appareil fixe-Vast apparaat,Avenue de la Gare,39.0,6790.0,Aubange,Luxembourg,Réfectoire,Oui-Ja,Non-Nee,,"39.0 Avenue de la Gare, Aubange, Luxembourg, Belgium 6790",49.566436,5.801937
11867,Appareil fixe-Vast apparaat,Ruggeveldlaan,488.0,2100.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"488.0 Ruggeveldlaan, ANTWERPEN, Antwerpen, Belgium 2100",51.2210756,4.4799126
11868,Appareil fixe-Vast apparaat,Rue de la Cité,4.0,6790.0,Aubange,Luxembourg,Hall nouvelle entrée,Oui-Ja,Non-Nee,,"4.0 Rue de la Cité, Aubange, Luxembourg, Belgium 6790",49.558619,5.7991613
11869,Appareil fixe-Vast apparaat,August Leyweg,2.0,2020.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"2.0 August Leyweg, ANTWERPEN, Antwerpen, Belgium 2020",51.1949858,4.3778072
11870,Appareil fixe-Vast apparaat,Den Geer,21.0,2180.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"21.0 Den Geer, ANTWERPEN, Antwerpen, Belgium 2180",51.2825254,4.4303668
11871,Appareil fixe-Vast apparaat,Rue du Village,,6790.0,Aubange,Luxembourg,Hall d entrée principale,Oui-Ja,Non-Nee,," Rue du Village, Aubange, Luxembourg, Belgium 6790",49.5672224,5.8088517
11872,Appareil fixe-Vast apparaat,Schriek,358.0,2180.0,Antwerpen,Antwerpen,/,Oui-Ja,Oui-Ja,,"358.0 Schriek, Antwerpen, Antwerpen, Belgium 2180",51.290448,4.4341799
11873,Appareil fixe-Vast apparaat,Santiagostraat,2.0,2030.0,ANTWERPEN,Antwerpen,/,Oui-Ja,Oui-Ja,,"2.0 Santiagostraat, ANTWERPEN, Antwerpen, Belgium 2030",51.2489279,4.4214083
